,country,description,designation,points,price,province,region,taster_name,title,variety,winery
61,Italy,"Here's a truly astonishing Barolo (from the Bricco Gattera cru) that epitomizes the “big boy” style that represents one of two dominant winemaking philosophies in the Langhe. This is an exuberant wine with thickly extracted notes of coffee bean, blackberry, leather and savory layers of black pepper. The wine is rich, smooth and velvety and will appeal less to Nebbiolo traditionalists.",Bricco Gattera,95,,Piedmont,Barolo,,Cordero di Montezemolo 2006 Bricco Gattera  (Barolo),Nebbiolo,Cordero di Montezemolo
62,US,"This well-made full-bodied wine exudes a juicy core of red currant, cranberry and vanilla as a persistence of tannin provides power and wooded support. Oak and cedar play nicely together and add a wealth of savory concentration.",Artemis,89,60.0,California,Napa Valley,Virginie Boone,Stag's Leap Wine Cellars 2014 Artemis Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Stag's Leap Wine Cellars
63,Portugal,"Still holding its deep red color, this is otherwise a wine that is now mature and ready to drink, hailing from the first vintage of the Vadio Project. It has earthy flavors of bramble and undergrowth, and a dry character that will become more pronounced over the next years. Luis Patrão started the organic Vadio Project to preserve the native Baga grape grown nine miles from the Atlantic Ocean in central Portugal.",Vadio,88,35.0,Bairrada,,Roger Voss,Vadio Wines 2005 Vadio Baga (Bairrada),Baga,Vadio Wines
64,US,"Light strawberry fruit carries an undertone of dried grass. It turns a little sour in the mouth, but it's fine for the price.",,85,13.0,Oregon,Oregon,Paul Gregutt,Rascal 2014 Pinot Noir (Oregon),Pinot Noir,Rascal
65,US,"Silky and voluptuous, Gowan Creek is Goldeneye's larger production Anderson Valley Pinot Noir. Still a barrel selection of its best lots, the wine is made from fruit that's heavily scrutinized before fermentation. A powerful Pinot that retains the acidity and earthiness of the variety, with streaks of ripe fruit throughout.",Gowan Creek Vineyard Estate Grown,93,80.0,California,Anderson Valley,Virginie Boone,Goldeneye 2010 Gowan Creek Vineyard Estate Grown Pinot Noir (Anderson Valley),Pinot Noir,Goldeneye
66,Portugal,"This round and smooth wine has apricot, peach and pear flavors, which create a soft texture and attractive acidity. It has a warm, rich feel. This wine is for food.",Cabriz Colheita Seleccionada,86,,Dão,,Roger Voss,Dão Sul 2011 Cabriz Colheita Seleccionada White (Dão),Portuguese White,Dão Sul
67,Spain,"Dense ripe black-fruit aromas are moderately spicy. In the mouth, this blend of Syrah, Petit Verdot and Cabernet Sauvignon is stout and rugged, much like Griñon's other 2011s. Flavors of ripe blackberry and cassis finish with chewy tannins and an overriding sense of ripeness. Drink through 2023.",Summa Varietalis Estate Bottled,92,30.0,Central Spain,Dominio de Valdepusa,Michael Schachner,Marques de Griñon 2011 Summa Varietalis Estate Bottled Red (Dominio de Valdepusa),Red Blend,Marques de Griñon
68,US,"Sparse in flavor, this blend of Merlot, Zinfandel and Syrah is one-dimensional, soft in cranberry and slightly underripe.",,83,10.0,California,California,Virginie Boone,Road i Red NV Red (California),Red Blend,Road i Red
69,Argentina,"Harsh aromas are devoid of fruit. The mouthfeel is heavy and oily in texture, while the flavors are flat and suggestive of bitter melon.",Finca Rosa,81,11.0,Mendoza Province,Tupungato,Michael Schachner,Domaine Jean Bousquet 2013 Finca Rosa Chardonnay (Tupungato),Chardonnay,Domaine Jean Bousquet
70,US,"This wine is a blend of McQueen, Bob Healy and Lefore vineyard fruit, aged 22 months in 73% new French oak. Alluring aromas of macerated cherries, scorched earth, coffee, barrel spice and dark chocolate are followed by supple, focused, concentrated dark-fruit flavors. It brings some tannic heft that will benefit from time in the cellar. Best from 2023–2030.",,92,94.0,Washington,Walla Walla Valley (WA),Sean P. Sullivan,Doubleback 2014 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Doubleback
71,Spain,"This lighter-styled, mature Rioja shows just a hint of brown at the edges. An initial light sweaty note blows off quickly, revealing appealing dried cherry, spice and wood aromas and flavors, and an elegant, balanced mouthfeel. Tannins are mostly resolved, drink now–2005. —M.M.",Gran Reserva,87,29.0,Northern Spain,Rioja,,Coto de Imaz 1994 Gran Reserva  (Rioja),Tempranillo,Coto de Imaz
72,US,"Ripe and dark aromas of black raspberries, blackberries and gingerbread greet the nose on this wine by veteran vintner Larry Brooks. The palate offers up lots of purple flowers with more black raspberry juice, proving tense with energy. Bright acidity cuts through the luscious elements.",Estate,89,32.0,California,Edna Valley,Matt Kettmann,Tolosa 2013 Estate Pinot Noir (Edna Valley),Pinot Noir,Tolosa
73,Italy,"Dense and rich, this darkly concentrated Amarone is redolent of mature fruit, strawberry jam, tobacco leaf, cedar wood, cigar box and brown sugar. It feels syrupy and dense on the palate with soft tannins and a smooth finish.",I Saltari Le Vigne di Turano,92,62.0,Veneto,Amarone della Valpolicella,,Sartori 2004 I Saltari Le Vigne di Turano  (Amarone della Valpolicella),"Corvina, Rondinella, Molinara",Sartori
74,Portugal,"Fresh and crisp, classic dry Vinho Verde, a blend of Alvarinho and Trajadura, with citrus flavors and a tight texture. Lively and fresh.",AT,86,,Vinho Verde,,Roger Voss,Borges 2009 AT White (Vinho Verde),Portuguese White,Borges
75,Portugal,This rich wine comes from the far south of Portugal. It is structured and dense with black-plum fruit and firm tannins. Spice and grilled toast from wood aging and acidity gives this wine a good balance as well as ripeness. Drink now.,Rabo de Galo,88,20.0,Algarve,,Roger Voss,Casa Santos Lima 2016 Rabo de Galo Red (Algarve),Portuguese Red,Casa Santos Lima
76,France,"This Alliance Bourg co-op wine is packed with minty new-wood aromas, this has the potential to be a smooth, polished wine. The blend is 70% Merlot, 20% Cabernet Sauvignon and 10% Cabernet Franc. Firm tannins at this stage do not mask the ripe blackberry fruits. Give this wine until 2019 before drinking.",Grande Réserve,91,37.0,Bordeaux,Blaye Côtes de Bordeaux,Roger Voss,Closerie du Bailli 2014 Grande Réserve  (Blaye Côtes de Bordeaux),Bordeaux-style Red Blend,Closerie du Bailli
77,US,"Pricey for the variety, especially considering the quality, which is not high. Smells and tastes vegetal, with traces of asparagus, oregano and mint, and a weird sweetness on the finish. —S.H.",,82,22.0,California,Napa Valley,,Peju 2000 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Peju
78,Spain,This Macabeo (Viura) blend is neutral on the nose but fairly big and bulky on the palate. Flavors of lemon-lime and banana are spritzy at first and then stickier late. The rest of the composition (Macabeo and Parellada) dictates that the flavors will be short; but what's on display is nice and creamy.,Proyecto Cu4tro Blanco,86,10.0,Catalonia,Catalunya,Michael Schachner,Bodegas Concavins 2006 Proyecto Cu4tro Blanco White (Catalunya),White Blend,Bodegas Concavins
79,Italy,This is a lovely Chardonnay from Tuscany with a full bouquet of honey and stone fruit aromas. The wine is thick and rich in texture with impressive intensity and persistency on the finish.,Fontanelle,90,19.0,Tuscany,Toscana,,Castello Banfi 2008 Fontanelle Chardonnay (Toscana),Chardonnay,Castello Banfi
80,Italy,"Hints of mint, cedar and blue flower add depth to the black cherry aromas on this blend of 45% Montepulciano, 45% Sangiovese and 10% Cabernet Sauvignon. Juicy fruit flavors carry over to fresh and accessible palate. Not for cellaring; enjoy now.",Rosso Bello,86,14.0,Central Italy,Rosso Piceno,Kerin O’Keefe,Le Caniette 2010 Rosso Bello  (Rosso Piceno),Red Blend,Le Caniette
